CODGEO;DEP;LIBGEO;Zonage en vigueur;Reclassement
1213;1;Leyment;C;Non
1214;1;Leyssard;C;Non
1215;1;Surjoux-Lhopital;C;Non
1216;1;Lhuis;C;Non
1219;1;Lompnas;C;Non
1224;1;Loyettes;C;Non
1225;1;Lurcy;C;Non
1227;1;Magnieu;C;Non
1228;1;Maillat;C;Non
1229;1;Malafretaz;C;Non
1230;1;Mantenay-Montlin;C;Non
1231;1;Manziat;C;Non
1232;1;Marboz;C;Non
1233;1;Marchamp;C;Non
1234;1;Marignieu;C;Non
1235;1;Marlieux;C;Non
1236;1;Marsonnas;C;Non
1237;1;Martignat;C;Non
1238;1;Massieux;B1;Oui
1239;1;Massignieu-de-Rives;C;Non
1240;1;Matafelon-Granges;C;Non
1241;1;Meillonnas;C;Non
1242;1;Mérignat;C;Non
1243;1;Messimy-sur-Saône;C;Non
1244;1;Meximieux;B1;Oui
1245;1;Bohas-Meyriat-Rignat;C;Non
1246;1;Mézériat;C;Non
1247;1;Mijoux;B2;Non
1248;1;Mionnay;B1;Oui
1249;1;Miribel;B1;Non
1250;1;Misérieux;B1;Oui
1252;1;Mogneneins;C;Non
1254;1;Montagnat;C;Non
1255;1;Montagnieu;C;Non
1257;1;Montanges;C;Non
1258;1;Montceaux;C;Non
1259;1;Montcet;C;Non
1260;1;Le Montellier;C;Non
1261;1;Monthieux;C;Non
1262;1;Montluel;B1;Non
1263;1;Montmerle-sur-Saône;C;Non
1264;1;Montracol;C;Non
1265;1;Montréal-la-Cluse;C;Non
1266;1;Montrevel-en-Bresse;C;Non
1267;1;Nurieux-Volognat;C;Non
1268;1;Murs-et-Gélignieux;C;Non
1269;1;Nantua;C;Non
1272;1;Neuville-les-Dames;C;Non
1273;1;Neuville-sur-Ain;C;Non
1274;1;Les Neyrolles;C;Non
1275;1;Neyron;B1;Non
1276;1;Niévroz;B2;Non
1277;1;Nivollet-Montgriffon;C;Non
1279;1;Oncieu;C;Non
1280;1;Ordonnaz;C;Non
1281;1;Ornex;Abis;Oui
1282;1;Outriaz;C;Non
1283;1;Oyonnax;B2;Non
1284;1;Ozan;C;Non
1285;1;Parcieux;B2;Non
1286;1;Parves et Nattages;C;Non
1288;1;Péron;A;Non
1289;1;Péronnas;B2;Non
1290;1;Pérouges;B2;Non
1291;1;Perrex;C;Non
1293;1;Peyriat;C;Non
1294;1;Peyrieu;C;Non
1295;1;Peyzieux-sur-Saône;C;Non
1296;1;Pirajoux;C;Non
1297;1;Pizay;B2;Non
1298;1;Plagne;C;Non
1299;1;Le Plantay;C;Non
1301;1;Polliat;C;Non
1302;1;Pollieu;C;Non
1303;1;Poncin;C;Non
1304;1;Pont-d'Ain;C;Non
1305;1;Pont-de-Vaux;C;Non
1306;1;Pont-de-Veyle;C;Non
1307;1;Port;C;Non
1308;1;Pougny;B1;Non
1309;1;Pouillat;C;Non
1310;1;Prémeyzel;C;Non
1311;1;Prémillieu;C;Non
1313;1;Prévessin-Moëns;Abis;Oui
1314;1;Priay;C;Non
1317;1;Ramasse;C;Non
1318;1;Rancé;B2;Non
1319;1;Relevant;C;Non
1320;1;Replonges;C;Non
1321;1;Revonnas;C;Non
1322;1;Reyrieux;B1;Non
1323;1;Reyssouze;C;Non
1325;1;Rignieux-le-Franc;C;Non
1328;1;Romans;C;Non
1329;1;Rossillon;C;Non
1330;1;Ruffieu;C;Non
1331;1;Saint-Alban;C;Non
