CODGEO;DEP;LIBGEO;Zonage en vigueur;Reclassement
2381;2;Hirson;C;Non
2382;2;Holnon;C;Non
2383;2;Homblières;B2;Non
2384;2;Houry;C;Non
2385;2;Housset;C;Non
2386;2;Iron;C;Non
2387;2;Itancourt;C;Non
2388;2;Iviers;C;Non
2389;2;Jaulgonne;C;Non
2390;2;Jeancourt;C;Non
2391;2;Jeantes;C;Non
2392;2;Joncourt;C;Non
2393;2;Jouaignes;C;Non
2395;2;Jumencourt;C;Non
2396;2;Jumigny;C;Non
2397;2;Jussy;C;Non
2398;2;Juvigny;C;Non
2399;2;Juvincourt-et-Damary;C;Non
2400;2;Laffaux;C;Non
2401;2;Laigny;C;Non
2402;2;Lanchy;C;Non
2403;2;Landifay-et-Bertaignemont;C;Non
2404;2;Landouzy-la-Cour;C;Non
2405;2;Landouzy-la-Ville;C;Non
2406;2;Landricourt;C;Non
2407;2;Laniscourt;C;Non
2408;2;Laon;B2;Non
2409;2;Lappion;C;Non
2410;2;Largny-sur-Automne;B2;Non
2411;2;Latilly;C;Non
2412;2;Launoy;C;Non
2413;2;Laval-en-Laonnois;C;Non
2414;2;Lavaqueresse;C;Non
2415;2;Laversine;C;Non
2416;2;Lemé;C;Non
2417;2;Lempire;C;Non
2418;2;Lerzy;C;Non
2419;2;Leschelle;C;Non
2420;2;Lesdins;B2;Non
2421;2;Lesges;C;Non
2422;2;Lesquielles-Saint-Germain;C;Non
2423;2;Leuilly-sous-Coucy;C;Non
2424;2;Leury;C;Non
2425;2;Leuze;C;Non
2426;2;Levergies;C;Non
2427;2;Lhuys;C;Non
2428;2;Licy-Clignon;C;Non
2429;2;Lierval;C;Non
2430;2;Liesse-Notre-Dame;C;Non
2431;2;Liez;C;Non
2432;2;Limé;C;Non
2433;2;Lislet;C;Non
2435;2;Logny-lès-Aubenton;C;Non
2438;2;Longpont;B2;Non
2439;2;Les Septvallons;C;Non
2440;2;Lor;C;Non
2441;2;Louâtre;C;Non
2442;2;Loupeigne;C;Non
2443;2;Lucy-le-Bocage;C;Non
2444;2;Lugny;C;Non
2445;2;Luzoir;C;Non
2446;2;Ly-Fontaine;C;Non
2447;2;Maast-et-Violaine;C;Non
2448;2;Mâchecourt;C;Non
2449;2;Macogny;C;Non
2450;2;Macquigny;C;Non
2451;2;Magny-la-Fosse;C;Non
2452;2;Maissemy;C;Non
2453;2;Maizy;C;Non
2454;2;La Malmaison;C;Non
2455;2;Malzy;C;Non
2456;2;Manicamp;C;Non
2457;2;Marchais;C;Non
2458;2;Dhuys et Morin-en-Brie;B2;Non
2459;2;Marcy;B2;Non
2460;2;Marcy-sous-Marle;C;Non
2461;2;Marest-Dampcourt;C;Non
2462;2;Mareuil-en-Dôle;C;Non
2463;2;Marfontaine;C;Non
2464;2;Margival;C;Non
2465;2;Marigny-en-Orxois;B2;Non
2466;2;Marizy-Sainte-Geneviève;C;Non
2467;2;Marizy-Saint-Mard;C;Non
2468;2;Marle;C;Non
2469;2;Marly-Gomont;C;Non
2470;2;Martigny;C;Non
2471;2;Martigny-Courpierre;C;Non
2472;2;Mauregny-en-Haye;C;Non
2473;2;Mayot;C;Non
2474;2;Mennessis;C;Non
2476;2;Mennevret;C;Non
2477;2;Mercin-et-Vaux;B2;Non
2478;2;Merlieux-et-Fouquerolles;C;Non
2480;2;Mesbrecourt-Richecourt;C;Non
2481;2;Mesnil-Saint-Laurent;B2;Non
2482;2;Meurival;C;Non
2483;2;Mézières-sur-Oise;C;Non
2484;2;Mézy-Moulins;C;Non
2485;2;Missy-aux-Bois;C;Non
2486;2;Missy-lès-Pierrepont;C;Non
2487;2;Missy-sur-Aisne;C;Non
2488;2;Molain;C;Non
2489;2;Molinchart;C;Non
2490;2;Monampteuil;C;Non
2491;2;Monceau-le-Neuf-et-Faucouzy;C;Non
2492;2;Monceau-lès-Leups;C;Non
2493;2;Monceau-le-Waast;C;Non
2494;2;Monceau-sur-Oise;C;Non
2495;2;Mondrepuis;C;Non
2496;2;Monnes;B2;Non
2497;2;Mons-en-Laonnois;C;Non
2498;2;Montaigu;C;Non
2499;2;Montbavin;C;Non
2500;2;Montbrehain;C;Non
2501;2;Montchâlons;C;Non
2502;2;Montcornet;C;Non
2503;2;Mont-d'Origny;C;Non
2504;2;Montescourt-Lizerolles;C;Non
2505;2;Montfaucon;C;Non
2506;2;Montgobert;C;Non
2507;2;Montgru-Saint-Hilaire;C;Non
2508;2;Monthenault;C;Non
2509;2;Monthiers;C;Non
2510;2;Monthurel;C;Non
2511;2;Montigny-en-Arrouaise;C;Non
2512;2;Montigny-l'Allier;B2;Non
2513;2;Montigny-le-Franc;C;Non
2514;2;Montigny-Lengrain;C;Non
2515;2;Montigny-lès-Condé;C;Non
2516;2;Montigny-sous-Marle;C;Non
2517;2;Montigny-sur-Crécy;C;Non
2518;2;Montlevon;C;Non
2519;2;Montloué;C;Non
2520;2;Mont-Notre-Dame;C;Non
2521;2;Montreuil-aux-Lions;B2;Non
2522;2;Mont-Saint-Jean;C;Non
2523;2;Mont-Saint-Martin;C;Non
2524;2;Mont-Saint-Père;C;Non
2525;2;Morcourt;B2;Non
2526;2;Morgny-en-Thiérache;C;Non
2527;2;Morsain;C;Non
2528;2;Mortefontaine;C;Non
2529;2;Mortiers;C;Non
2530;2;Moulins;C;Non
2531;2;Moussy-Verneuil;C;Non
2532;2;Moÿ-de-l'Aisne;C;Non
2533;2;Muret-et-Crouttes;C;Non
2534;2;Muscourt;C;Non
2535;2;Nampcelles-la-Cour;C;Non
2536;2;Nampteuil-sous-Muret;C;Non
2537;2;Nanteuil-la-Fosse;C;Non
2538;2;Nanteuil-Notre-Dame;C;Non
2539;2;Nauroy;C;Non
2540;2;Nesles-la-Montagne;C;Non
2541;2;Neufchâtel-sur-Aisne;C;Non
2542;2;Neuflieux;C;Non
2543;2;Neuilly-Saint-Front;B2;Non
2544;2;Neuve-Maison;C;Non
2545;2;La Neuville-Bosmont;C;Non
2546;2;La Neuville-en-Beine;C;Non
2547;2;La Neuville-Housset;C;Non
2548;2;La Neuville-lès-Dorengt;C;Non
2549;2;Neuville-Saint-Amand;B2;Non
2550;2;Neuville-sur-Ailette;C;Non
2551;2;Neuville-sur-Margival;C;Non
2552;2;Neuvillette;C;Non
2553;2;Nizy-le-Comte;C;Non
2554;2;Nogentel;B2;Non
2555;2;Nogent-l'Artaud;C;Non
2556;2;Noircourt;C;Non
2557;2;Noroy-sur-Ourcq;C;Non
2558;2;Le Nouvion-en-Thiérache;C;Non
2559;2;Nouvion-et-Catillon;C;Non
2560;2;Nouvion-le-Comte;C;Non
2561;2;Nouvion-le-Vineux;C;Non
2562;2;Nouvron-Vingré;C;Non
2563;2;Noyales;C;Non
2564;2;Bernoy-le-Château;C;Non
2565;2;Œuilly;C;Non
2566;2;Ognes;C;Non
2567;2;Ohis;C;Non
2568;2;Oigny-en-Valois;C;Non
2569;2;Oisy;C;Non
2570;2;Ollezy;C;Non
2571;2;Omissy;B2;Non
2572;2;Orainville;C;Non
2573;2;Orgeval;C;Non
2574;2;Origny-en-Thiérache;C;Non
2575;2;Origny-Sainte-Benoite;C;Non
2576;2;Osly-Courtil;C;Non
2577;2;Ostel;C;Non
2578;2;Oulches-la-Vallée-Foulon;C;Non
2579;2;Oulchy-la-Ville;C;Non
2580;2;Oulchy-le-Château;C;Non
2581;2;Paars;C;Non
2582;2;Paissy;C;Non
2583;2;Pancy-Courtecon;C;Non
2584;2;Papleux;C;Non
2585;2;Parcy-et-Tigny;C;Non
2586;2;Parfondeval;C;Non
2587;2;Parfondru;C;Non
2588;2;Pargnan;C;Non
2589;2;Pargny-Filain;C;Non
2590;2;Pargny-la-Dhuys;C;Non
2591;2;Pargny-les-Bois;C;Non
2592;2;Parpeville;C;Non
2593;2;Pasly;C;Non
2594;2;Passy-en-Valois;B2;Non
2595;2;Passy-sur-Marne;C;Non
2596;2;Pavant;B2;Non
2598;2;Pernant;C;Non
2599;2;Pierremande;C;Non
2600;2;Pierrepont;C;Non
2601;2;Pignicourt;C;Non
2602;2;Pinon;C;Non
2604;2;Pithon;C;Non
2605;2;Pleine-Selve;C;Non
2606;2;Le Plessier-Huleu;C;Non
2607;2;Ploisy;C;Non
2608;2;Plomion;C;Non
2609;2;Ployart-et-Vaurseine;C;Non
2610;2;Pommiers;C;Non
2612;2;Pont-Arcy;C;Non
2613;2;Pontavert;C;Non
2614;2;Pontru;C;Non
2615;2;Pontruet;C;Non
2616;2;Pont-Saint-Mard;C;Non
2617;2;Pouilly-sur-Serre;C;Non
2618;2;Prémont;C;Non
2619;2;Prémontré;C;Non
2620;2;Presles-et-Boves;C;Non
2621;2;Presles-et-Thierny;C;Non
2622;2;Priez;B2;Non
2623;2;Prisces;C;Non
2624;2;Proisy;C;Non
2625;2;Proix;C;Non
2626;2;Prouvais;C;Non
2627;2;Proviseux-et-Plesnoy;C;Non
2628;2;Puiseux-en-Retz;C;Non
2629;2;Puisieux-et-Clanlieu;C;Non
2631;2;Quierzy;C;Non
2632;2;Quincy-Basse;C;Non
2633;2;Quincy-sous-le-Mont;C;Non
2634;2;Raillimont;C;Non
2635;2;Ramicourt;C;Non
