CODGEO;DEP;LIBGEO;Zonage ABC en vigueur depuis le 26 juin 2026
01261;01;Monthieux;C
01262;01;Montluel;B1
01263;01;Montmerle-sur-Saône;C
01264;01;Montracol;C
01265;01;Montréal-la-Cluse;C
01266;01;Montrevel-en-Bresse;C
01267;01;Nurieux-Volognat;C
01268;01;Murs-et-Gélignieux;C
01269;01;Nantua;C
01272;01;Neuville-les-Dames;C
01273;01;Neuville-sur-Ain;C
01274;01;Les Neyrolles;C
01275;01;Neyron;B1
01276;01;Niévroz;B2
01277;01;Nivollet-Montgriffon;C
01279;01;Oncieu;C
01280;01;Ordonnaz;C
01281;01;Ornex;Abis
01282;01;Outriaz;C
01283;01;Oyonnax;B2
01284;01;Ozan;C
01285;01;Parcieux;B2
01286;01;Parves et Nattages;C
01288;01;Péron;A
01289;01;Péronnas;B2
01290;01;Pérouges;B1
01291;01;Perrex;C
01293;01;Peyriat;C
01294;01;Peyrieu;C
01295;01;Peyzieux-sur-Saône;C
01296;01;Pirajoux;C
01297;01;Pizay;B2
01298;01;Plagne;C
01299;01;Le Plantay;C
01301;01;Polliat;C
01302;01;Pollieu;C
01303;01;Poncin;C
01304;01;Pont-d'Ain;C
01305;01;Pont-de-Vaux;C
01306;01;Pont-de-Veyle;C
01307;01;Port;C
01308;01;Pougny;Abis
01309;01;Pouillat;C
01310;01;Prémeyzel;C
01311;01;Prémillieu;C
01313;01;Prévessin-Moëns;Abis
01314;01;Priay;C
01317;01;Ramasse;C
01318;01;Rancé;B2
01319;01;Relevant;C
01320;01;Replonges;C
01321;01;Revonnas;C
01322;01;Reyrieux;B1
01323;01;Reyssouze;C
01325;01;Rignieux-le-Franc;C
01328;01;Romans;C
01329;01;Rossillon;C
01331;01;Saint-Alban;C
01332;01;Saint-André-de-Bâgé;C
01333;01;Saint-André-de-Corcy;B1
01334;01;Saint-André-d'Huiriat;C
01335;01;Saint-André-le-Bouchoux;C
01336;01;Saint-André-sur-Vieux-Jonc;C
01337;01;Saint-Bénigne;C
01338;01;Groslée-Saint-Benoit;C
01339;01;Saint-Bernard;B2
01342;01;Sainte-Croix;B2
01343;01;Saint-Cyr-sur-Menthon;C
01344;01;Saint-Denis-lès-Bourg;B2
01345;01;Saint-Denis-en-Bugey;C
01346;01;Saint-Didier-d'Aussiat;C
01347;01;Saint-Didier-de-Formans;B2
01348;01;Saint-Didier-sur-Chalaronne;C
01349;01;Saint-Éloi;C
01350;01;Saint-Étienne-du-Bois;C
